# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=irish,Gaeilge
	ICON=Icons/irish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_NS=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_PS4=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_PS4=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_XB1=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_XB1=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_PC=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_PC=
		Ná cas do ríomhaire as nuair
		atá an íocón seo ar taispeáint

# Main Menu
	MENU_DEBUG=		~DÍFHABHTAIGH~
	OPTIONS_MUSIC=			Ceol
	OPTIONS_SOUNDS=			Fuaimeanna

	OPTIONS_GAMEPLAY=		IMIRT
	OPTIONS_SPEEDRUN=		Clog Sciuirde
	OPTIONS_SPEEDRUN_CHAPTER=Caibidil
	OPTIONS_SPEEDRUN_FILE=	Comhad
	OPTIONS_DASHES=			Áiritheoir Deifre
	OPTIONS_LANGUAGE=		Teanga
	OPTIONS_ON=				AR SIÚL
	OPTIONS_OFF=			AS

# KEYBOARD CONFIG
	KEY_CONFIG_TITLE=		Cumraíocht Méarchláir
	KEY_CONFIG_GAMEPLAY=	IMIRT
	KEY_CONFIG_LEFT=		Clé
	KEY_CONFIG_RIGHT=		Deas
	KEY_CONFIG_UP=			Suas
	KEY_CONFIG_DOWN=		Síos
	KEY_CONFIG_JUMP=		Léim
	KEY_CONFIG_DASH=		Deifrigh
	KEY_CONFIG_GRAB=		Beir ar
	KEY_CONFIG_TALK=		Labhair
	KEY_CONFIG_MENUS=		ROGHCHLÁR
	KEY_CONFIG_CONFIRM=		Deimhnigh
	KEY_CONFIG_CANCEL=		Cealaigh
	KEY_CONFIG_PAUSE=		Cuir ar sos
	KEY_CONFIG_JOURNAL=		Dialann
	KEY_CONFIG_QUICKRESTART=Aththosú Tapa
	KEY_CONFIG_RESET=		Athshocraigh uile mar réamhshocrú
	KEY_CONFIG_CHANGING=	BRÚIGH EOCHAIR DO
	KEY_CONFIG_MOVE_ONLY=	DO GHLUAISEACHT AMHÁIN
	KEY_CONFIG_DASH_ONLY=	DO DEIFIR AMHÁIN

# CONTROLLER CONFIG
	BTN_CONFIG_TITLE=		Cumraíocht Rialtáin
	BTN_CONFIG_INFO=		BRÚIGH | CHUN CNAIPE A CHUR LEIS, | CHUN CNAIPÍ A GHLANADH
	BTN_CONFIG_CHANGING=	BRÚIGH CNAIPE CHUN CUR LEIS DO
	BTN_CONFIG_NOCONTROLLER=Ceangal rialtán le do thoil

# ADDITIONAL OPTIONS FOR V1.4.0.0
	KEY_CONFIG_DEMO=		Crom-Deifrigh
	KEY_CONFIG_ADVANCED=	DEACAIR
	KEY_CONFIG_MENU_NOTICE= IS GÁ DO 1 EOCHAIR UATHÚIL A BHEITH AG GACH GNÍOMH

# PICO-8
	PICO8_UNLOCKED=			Anois inimeartha ón bPríomhroghchlár
	PICO8_PAUSE_TITLE=		CURTHA AR SOS
	PICO8_PAUSE_CONTINUE=	Tosaigh arís
	PICO8_PAUSE_RESTART=	Athshocraigh PICO-8
	PICO8_PAUSE_QUIT=		Scoir PICO-8

# FILE MENU
	FILE_DEFAULT=		Madeline
	FILE_CORRUPTED=		Truaillithe :(
	FILE_FAILEDTOLOAD=	Lódáil Teipthe
	FILE_NEWGAME=		Tosaigh Cluiche Nua!
	FILE_CONTINUE=		Lean ar aghaidh
	FILE_DELETE=		Scrios
	FILE_BEGIN=			Tosaigh
	FILE_ASSIST_OFF=	Mód Cúnta : AS
	FILE_ASSIST_ON=		Mód Cúnta : AR SIÚL
	FILE_VARIANT_OFF=	Mód Athraitheach : AS
	FILE_VARIANT_ON=	Mód Athraitheach : AR SIÚL
	FILE_RENAME=		Athainmnigh
	FILE_DELETE_REALLY=	An bhfuil tú cinnte?
	FILE_DELETE_NO=		Cealaigh
	FILE_DELETE_YES=	Scrios
	FILE_DELETE_FAILED=	Scriosadh comhaid teipthe!

# Assist Mode
	ASSIST_MODE_0=
		Ligeann {# 44adf7}Mód Cúnta{#} duit rialacha an cluiche{n}
		a mhionathrú chun do riachtanas a shásamh.		
	ASSIST_MODE_1=
		Tá roghanna san áireamh mar mhoilliú luas an cluiche,{n}
		dochloíteacht nó seasmhacht éigríochta a thabhairt duit féin,{n}
		agus caibidlí iomlán a scipeáil.
	ASSIST_MODE_2=
		Tá sé beartaithe ag Celeste a bheith eispéireas dúshlánach agus tairbheach.{n}
		Má fheictear duit go bhfuil an cluiche dorochtana, tá súil againn{n} 
		gur féidir leat an eispéireas sin a aimsiú fós le {# 44adf7}Mód Cúnta{#}.
	ASSIST_ASK=		Ar mhaith leat imirt le {# 44adf7}Mód Cúnta{#}?
	ASSIST_YES=		Ba mhaith
	ASSIST_NO=		Níor mhaith
	ASSIST_SKIP=	Cúnta{n}Scipeála

# File Naming
	NAME_LETTERS=
		ABCDEFGHI abcdefghi
		JKLMNOPQR jklmnopqr
		STUVWXYZ  stuvwxyz
		1234567890+=:~!@$%
		^&*_-#"'()<>/\.,|`

	NAME_SPACE=			spás
	NAME_BACKSPACE=		cúlspásáil
	NAME_ACCEPT=		GLAC
	NAME_BACK=			CEALAIGH

# Xbox One Stuff
	XB1_MENU_SWITCH_PROFILE=	Athraigh Prófíl
	XB1_SIGN_OUT_MESSAGE=		Tharla athrú próifíle. Sínigh isteach arís nó scóir go dtí an scáileán teidil, le do thoil.
	XB1_SIGN_IN=				Sínigh isteach
	XB1_RECONNECT_CONTROLLER=	Athcheangal do rialtán le do thoil, chun lean ar aghaidh.

# Intro Vignette
	INTRO_VIGNETTE_RESUME=	Lean air
	INTRO_VIGNETTE_SKIP=	Scipeáil
	INTRO_VIGNETTE_QUIT=	Scoir

# Overworld
	OVERWORLD_START=			Tosaigh
	OVERWORLD_NORMAL=			DREAP
	OVERWORLD_INTERLUDE=		TOSAIGH
	OVERWORLD_REMIX=			TAOBH-B
	OVERWORLD_REMIX2=			TAOBH-C
	OVERWORLD_REMIX_UNLOCKED=	Taobh-B Díghlasáilte!
	OVERWORLD_REMIX_UNLOCKED2=	Taobh-C Díghlasáilte!

# Chapter Titles
	AREA_CHAPTER=	Caibidil {x}
	AREA_0=			Réamhrá
	AREA_1=			Cathair Tréigthe
	AREA_2=			Seantalamh
	AREA_3=			Ionad Saoire Neamhaí
	AREA_4=			Iomaire Óir
	AREA_5=			Teampall na Scáthán
	AREA_6=			Machnamh
	AREA_7=			An Mullach
	AREA_8=			Eipealóg
	AREA_9=			Croí
	AREA_10=		Slán

# Checkpoints
	CHECKPOINT_1_0=		Trasbhealach
	CHECKPOINT_1_1=		Gáibéal

	CHECKPOINT_2_0=		Ionchur
	CHECKPOINT_2_1=		Múscailte

	CHECKPOINT_3_0=		Prácás Ollmhór
	CHECKPOINT_3_1=		Seafta Ardaitheora
	CHECKPOINT_3_2=		Svuít an Uachtaráin

	CHECKPOINT_4_0=		Scrín
	CHECKPOINT_4_1=		Seanchonair
	CHECKPOINT_4_2=		Aghaidh Aille

	CHECKPOINT_5_0=		Doimhneachtaí
	CHECKPOINT_5_1=		Scaoileadh
	CHECKPOINT_5_2=		Cuardach
	CHECKPOINT_5_3=		Tarrtháil

	CHECKPOINT_6_0=		Loch
	CHECKPOINT_6_1=		Loig
	CHECKPOINT_6_2=		Machnamh
	CHECKPOINT_6_3=		Íochtar ar fad
	CHECKPOINT_6_4=		Réiteach

	CHECKPOINT_7_0=		500 M
	CHECKPOINT_7_1=		1000 M
	CHECKPOINT_7_2=		1500 M
	CHECKPOINT_7_3=		2000 M
	CHECKPOINT_7_4=		2500 M
	CHECKPOINT_7_5=		3000 M

	CHECKPOINT_8_0=		Isteach sa Chroí
	CHECKPOINT_8_1=		Te agus Fuar
	CHECKPOINT_8_2=		Croí an Sléibhe

	CHECKPOINT_9_0=		Uatha
	CHECKPOINT_9_1=		Foinse Chumhachta
	CHECKPOINT_9_2=		Cuimhnithe
	CHECKPOINT_9_3=		Léaslíne Theagmhais
	CHECKPOINT_9_4=		Daingne
	CHECKPOINT_9_5=		Stuacacht
	CHECKPOINT_9_6=		Athmhuintearas
	CHECKPOINT_9_7=		Slán

# B-Side Checkpoints
	CHECKPOINT_1H_0=	Sás
	CHECKPOINT_1H_1=	Poll Draimh

	CHECKPOINT_2H_0=	Glas Teaglama
	CHECKPOINT_2H_1=	Altóir Aisling

	CHECKPOINT_3H_0=	Ceathrúna Foirne
	CHECKPOINT_3H_1=	Leabharlann
	CHECKPOINT_3H_2=	Díon

	CHECKPOINT_4H_0=	Clochán Chora
	CHECKPOINT_4H_1=	Cainneon Fleách
	CHECKPOINT_4H_2=	I mBéal na Stoirme

	CHECKPOINT_5H_0=	Seomra Lárnach
	CHECKPOINT_5H_1=	Tríd an Scáthán
	CHECKPOINT_5H_2=	Máistir Athmheascadh

	CHECKPOINT_6H_0=	Machnamh
	CHECKPOINT_6H_1=	Íochtar ar fad
	CHECKPOINT_6H_2=	Réiteach

	CHECKPOINT_7H_0=	500 M
	CHECKPOINT_7H_1=	1000 M
	CHECKPOINT_7H_2=	1500 M
	CHECKPOINT_7H_3=	2000 M
	CHECKPOINT_7H_4=	2500 M
	CHECKPOINT_7H_5=	3000 M

	CHECKPOINT_8H_0=	Isteach sa Chroí
	CHECKPOINT_8H_1=	Dó nó Reo
	CHECKPOINT_8H_2=	Buille an Chroí

# Postcards
	POSTCARD_AREA_1=
		Roghnaigh {#ff1144}Sábháil agus Scoir{#} ón roghchlár sosa ag aon am chun sos a ghlacadh. Atosóidh tú ón scáileán céanna agus ní chailleadh tú aon forás!

	POSTCARD_AREA_2=
		Rachaidh tú i bhfeidhm ar do chairde trí {#ff1144}Sútha Talún{#} a bhailiú, ach sin é. Bailligh iad ach amháin más mian leat!

	POSTCARD_AREA_3=
		Bí bródúil as do {#ff1144}Líon Báis{#}!{n}Dá mhéad a fhaigheann tú bás, is mó a fhoghlaimíonn tú.{n}Coinnigh ort!

	POSTCARD_AREA_4=
		{# F94A4A}Léid Dreapadh!{#}{n}An bhfuil ag rith as fuinneamh?{n}{n}Ní úsáideann léim siar ó bhallaí{n}teacht aniar ar bith!

	POSTCARD_AREA_5=
		{# F94A4A}An bhfuil a fhios 'at?{#}{n}Tarlaíonn an chuid is mó de{n}mhíthapa dreapadh mar gheall ar chloíteacht.{n}{n}Cuimhnigh ar shosanna rialta a ghlacadh!

	POSTCARD_AREA_6=
		{# F94A4A}An bhfuil a fhios 'at?{#}{n}{n}Ní féidir leat do scáil féin{n}a fhágadh ar deireadh.

	POSTCARD_CSIDES=
		An bhfuil tú réidh le haghaidh fíordhúshlán?{n}{n}Tá {# F94A4A}Taobhanna-C{#} neamhghlasáilte, agus{n}cuireadh{# dbb63f}Sútha Talún Óir{#} ar fáil{n}ag tús de gach caibidil!{n}{n}Go n-éirí atá leat, {+MADELINE}!

	POSTCARD_VARIANTS=
		M'anam, maith thú!{n}{n}Tá {# 9B3FB5}Leaganacha{#} anois ar fáil ón Roghchlár Comhad.

# Journal
	JOURNAL_OF=
	JOURNAL_PROGRESS=				FORÁS
	JOURNAL_SPEEDRUNS=				CURIARRACHTAÍ:{n}SCIUIRDEANNA
	JOURNAL_DASHES=					CURIARRACHTAÍ:{n}DEIFIR DÉANTA IS LÚ
	JOURNAL_DEATHS=					CURIARRACHTAÍ:{n}BÁSANNA IS LÚ
	JOURNAL_POEM=					CROÍTHE CRIOSTAIL
	JOURNAL_MODE_NORMAL=			CRÍOCHNÚ
	JOURNAL_MODE_NORMAL_FULLCLEAR=	LÁNCHRÍOCHNÚ
	JOURNAL_MODE_BSIDE=				TAOBH-B
	JOURNAL_MODE_CSIDE=				TAOBH-C
	JOURNAL_TOTALS=					IOMLÁIN
	JOURNAL_GRANDTOTAL=				MÓRIOMLÁN

# Stats
	STATS_TITLE=			Staitisticí Steam Domhanda
	STAT_BERRIES=			Sútha Talún
	STAT_DEATHS=			Básanna
	STAT_DASHES=			Méid Deifre
	STAT_GOLDBERRIES=		Caora Óir
	STAT_PICO_BERRIES=		Sútha Talún PICO-8
	STAT_PICO_DEATHS=		Básanna PICO-8
	STAT_PICO_COMPLETES=	Críochnuithe PICO-8

# Saving / Loading Failed
	SAVEFAILED_TITLE=	SÁBHÁIL TEIPTHE
	SAVEFAILED_RETRY=	Triail Arís
	SAVEFAILED_IGNORE=	Lean ar aghaidh gan Sábháil
	LOADFAILED_TITLE=	LÓDÁIL TEIPTHE
	LOADFAILED_GOBACK=	Téigh Siar
	LOADFAILED_IGNORE=	Lean ar aghaidh gan Sábháil

# Tutorial
	TUTORIAL_CLIMB=		DREAP
	TUTORIAL_HOLD=		COINNIGH
	TUTORIAL_DASH=		DÉAN DEIFIR
	TUTORIAL_DREAMJUMP=	LÉIM
	TUTORIAL_CARRY=		IOMPAIR

# Area Complete
	AREACOMPLETE_NORMAL=				Caibidil Críochnaithe
	AREACOMPLETE_NORMAL_FULLCLEAR=		Caibidil Lánchríochnaithe
	AREACOMPLETE_BSIDE=					Taobh-B Críochnaithe
	AREACOMPLETE_CSIDE=					Taobh-C Críochnaithe 
	MOUNTAIN_COMPLETE_NORMAL=			Críochnaithe
	MOUNTAIN_COMPLETE_NORMAL_FULLCLEAR=	Lánchríochnaithe
	MOUNTAIN_COMPLETE_BSIDE=			Taobh-B Críochnaithe
	MOUNTAIN_COMPLETE_CSIDE=			Taobh-C Críochnaithe

# Game Paused
	MENU_PAUSE_TITLE=			CURTHA AR SOS
	MENU_PAUSE_RESUME=			Tosaigh arís
	MENU_PAUSE_SKIP_CUTSCENE=	Scipeáil Preabradharc
	MENU_PAUSE_RETRY=			Atriail
	MENU_PAUSE_ASSIST=			Roghanna Cúnta
	MENU_PAUSE_VARIANT=			Leaganacha
	MENU_PAUSE_OPTIONS=			Roghanna
	MENU_PAUSE_RESTARTAREA=		Atosaigh Caibidil
	MENU_PAUSE_SAVEQUIT=		Sábháil agus Scoir
	MENU_PAUSE_RETURN=			Fill ar Léarscáil
	MENU_PAUSE_RESTARTDEMO=		Atosaigh Taispeáint
	MENU_RETURN_TITLE=			FILL AR LÉARSCÁIL?
	MENU_RETURN_CONTINUE=		Fill
	MENU_RETURN_CANCEL=			Cealaigh
	MENU_RETURN_INFO=			Nuair a fhilleann tú ar an Léarscáil, sábhálfar d'fhorás{n}
								ach caithfidh tú atosú ag an seicphointe deireanach
	MENU_RESTART_TITLE=			ATOSAIGH CAIBIDIL?
	MENU_RESTART_CONTINUE=		Atosaigh
	MENU_RESTART_CANCEL=		Cealaigh

# Assist UI
	MENU_ASSIST_TITLE=					MÓD CÚNTA
	MENU_ASSIST_SUBTITLE=				Roghanna Cúnta
	MENU_ASSIST_GAMESPEED=				Luas Cluiche
	MENU_ASSIST_INVINCIBLE=				Dochloíteacht
	MENU_ASSIST_AIR_DASHES=				Deifir Aeir
	MENU_ASSIST_DASH_ASSIST=			Cúntóir Deifir
	MENU_ASSIST_AIR_DASHES_NORMAL=		Réamhshocrú
	MENU_ASSIST_AIR_DASHES_TWO=			2
	MENU_ASSIST_AIR_DASHES_INFINITE=	Gan Teorainn
	MENU_ASSIST_INFINITE_STAMINA=		Teacht Aniar gan Teorainn

# Variant UI
	MENU_VARIANT_TITLE=					LEAGANACHA
	MENU_VARIANT_SUBTITLE=				Leaganacha
	MENU_VARIANT_MIRROR=				Mód Scátháin
	MENU_VARIANT_360DASHING=			Deifir 360
	MENU_VARIANT_INVISMOTION=			Gluaisne Dofheicthe
	MENU_VARIANT_PLAYASBADELINE=		Féin Eile
	MENU_VARIANT_NOGRABBING=			Cosc ar Breith
	MENU_VARIANT_LOWFRICTION=			Frithchuimilt Ísle 
	MENU_VARIANT_SUPERDASHING=			Sár-Deifir
	MENU_VARIANT_HICCUPS=				Snaganna

# Misc UI
	UI_CUTSCENE_SKIP=	Scipeáil
	UI_REMIX_UNLOCKED=	Taobh-B Díghlasáilte 
	UI_CANCEL=			Siar
	UI_CONFIRM=			Deimhnigh
	UI_QUICK_RESTART_TITLE=Atosú Tapa: 
	UI_QUICK_RESTART_HOLD=Coinnigh
	UI_QUICK_RESTART_PRESS=Brúigh

# B SIDES
	REMIX_BY=			Ceol ag
	REMIX_ALBUM=		Taobhanna-B Celeste

	AREA_1_REMIX=		(Athmheascadh Scoith an Spéirlíne)
	AREA_2_REMIX=		(Athmheascadh Éirí na Gealaí Dubh)
	AREA_3_REMIX=		(Athmheascadh Ádh Maith)
	AREA_4_REMIX=		(Athmheascadh Cleite Óir)
	AREA_5_REMIX=		(Athmheascadh Draíocht Sciathán)
	AREA_6_REMIX=		(Athmheascadh Lár an Domhan)
	AREA_7_REMIX=		(Athmheascadh Deireadh le Ritheadh)
	AREA_9_REMIX=		(Athmheascadh Abair Slán)

# Credits
	CREDITS_THANKYOU=	Go raibh maith agat as imirt :)

# Names
	THEO=				{# FF9523}Theo{#}
	THEO_UNDER_STARS=	{# FFFF4C}TheoFaoiRéaltaí{#}
	MIXMASTER_THEO=		{# FF9523}Máistir Athmheascadh Theo{#}
	MOM=				{# 339CC7}Mam{#}
	MROSHIRO=			{# 7BD838}An Uasal Oshiro{#}
	OSHIRO=				{# 7BD838}Oshiro{#}
	ELCREEPO=			{# 7BD838}El Creepo{#}
	MADELINE=			{# F94A4A}{savedata Name}{#}
	MS_MADELINE=		{# F94A4A}Iníon {savedata Name}{#}
	RESORT=				{# b864be}Ionad Saoire Neamhaí{#}
	THOUGHT=			{# 696a6a}{~}(
	ENDTHOUGHT=			){/~}{#}
	MOUNTAIN=			{# 96EFFF}Sliabh{#}
	CELESTE_MOUNTAIN=	{# 96EFFF}Sliabh Celeste{#}
	PART_OF_ME=			{# d678db}{~}Cuid Díom{/~}{#}
	PART_OF_YOU=		{# d678db}{~}Cuid Díot{/~}{#}
	ST_BAD=				{# d678db}{~}
	END_BAD=			{/~}{#}
	GRANNY=				{# 66ea3a}Mamó{#}
	PART_OF_HER=		{# 66ea3a}{~}Cuid Di{/~}{#}
	PART_OF_GRANNY=		{# 66ea3a}{~}Cuid de Mhamó{/~}{#}

# Theo sister name
# if the player name is the same as this one, theo's sister name becomes the ALT_NAME
	THEO_SISTER_NAME=		Alex
	THEO_SISTER_ALT_NAME=	Maddy
	ALEX=					{# F94A4A}{savedata TheoSisterName}{#}

# ================================== IN-GAME DIALOG BEGINS HERE! ==================================

# *** Prologue ***

	CH0_INTRO=
		Seo é, {+MADELINE}.
		Análaigh.
		Cén fáth go bhfuil faitíos ort?

	CH0_GRANNY=
		{anchor top}

		[MADELINE left normal]
		Gabh mo leithscéal, a bhean uasal?

		{trigger 0 Madeline walks forward}

		[MADELINE left normal]
		Tá an fógra os comhair do theach briste... {n}an bhfuil sé seo an chonair {# 96EFFF}Sléibhe{#}?

		[GRANNY right normal]
		Tá tú beagnach ann.{n}Níl sé ach thar an droichid.

		{trigger 1 Madeline walks to the right of the house, turns left}
		
		[MADELINE right sad]
		Dála an scéil, ba chóir duit cur glao ar duine maidir le do chabhsán. Thit an droim agus is beag nár thit an t-anam asam.

		{trigger 2 Granny laughs}

		[GRANNY left laugh]
		Dá mbeifeá beagnach scriosta ag mo {>> 0.3}"chabhsán"{>>}{0.2},{n}d'fhéadfadh an {+mountain} bheith beagán iomarcach duit.

		{trigger 3 Laugh Continues}

		[MADELINE right upset]
		{0.5}...{0.2}

		[MADELINE right angry]
		Bhuel, más féidir le cailleach mar {~}thusa{/~}{n}a mhaireachtáil anseo, ceapaim go mbeidh mé togha.

		{trigger 4 Stop laughing}

		[GRANNY left normal]
		Déan mar a thograíos tú féin.

		{silent_trigger 5 Ominous zoom-in}

		[GRANNY left normal]
		Ach bí cúramach,{n}Is áit aisteach é {+CELESTE_MOUNTAIN}.

		[GRANNY left creepA]
		Seans go mbeidh rudaí ann.

		[GRANNY left creepB]
		Rudaí nach dtuigeann duine ar bith.

		{trigger 6 pan to Maddy}

		[MADELINE right upset]
		Ba cheart duit lorg cúnaimh, a bhean.

		{trigger 3 resume laughing}

	CH0_END=
		Is féidir leat.

# *** Chapter 01 ***

	CH1_THEO_A=
		[THEO left normal]
		Haigh, a chomhthaistealaí!

		[MADELINE right distracted]
		Ó... haigh.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		Nach sároíche do shiúlóid é?!

		[MADELINE right distracted]
		Is dócha é.

		[THEO left normal]
		Tá an áit seo craiceáilte. 

		[THEO left excited]
		Nílim in ann chreidiúnt go bhfuil sé ann!

		[MADELINE right sad]
		Níl sé an dreapadh is éasca, an ea?

		[MADELINE right distracted]
		Ach is dócha liom go raibh sé sin á lorg 'am...
		
		[THEO left normal]
		Hó, déarfainn go bhfuil sé sin saghas dáiríre.
		Nílim ach sásta duine eile{n}a fheiceáil in áit chomh uaigneach.

		[THEO left excited]
		Is mise {+ theo}, eachtranaí ó {>> 0.3}{~}thír i bhfad i gcéin!{/~}{>>}
		
		[MADELINE right sad]
		...{0.2}

		[THEO left thinking]
		Níl tú róthógtha leis an caint, nach bhfuil tú?

		[THEO left normal]
		Saghas éin cuideáin rúndiamhair, tuigim.{n}Samhlóidh mé scéal cúlra dorcha duit.

	CH1_THEO_B=
		[MADELINE right sad]
		Haigh, tá brón orm. Is mise {+MADELINE}.
		Tá go leor ar m'intinn agam.

		[THEO left normal]
		Bhuel, {+MADELINE}, déarfainn go bhfuil tusa san áit cheart!

		[THEO left thinking]
		Tá mo laidhre sioctha, ach ní féidir liom{n}áit níos fearr a shamhlú do roinnt machnaimh ciúin.
		
		[MADELINE right sad]
		Sea, b'fhéidir go bhfuil an ceart agat.

		[MADELINE right normal]
		Cén "{>> 0.5}{~}tír i bhfad i gcéin{/~}{>>}" as a bhfuil tú?
		
		[THEO left excited]
		Bhfuel, a chara, is as {n}an ríocht {0.3}{~}rúndiamhair,{0.4} andúchasach{/~}{0.4} mé, darbh ainm...
		
		[THEO left normal]
		{0.4} Seattle.

		[MADELINE right normal]
		Déarfainn gur áit speisialta í.

	CH1_THEO_C=
		[THEO left excited]
		Tá an áit seo craiceáilte!

		[THEO left normal]
		Cén fáth go mbeadh cathrach ar fad tréigthe?
		
		[MADELINE right normal]
		Léigh mé gur thosaigh mórchorparáid á thógail, {n]ach ní raibh aon duine ag iarraidh bogadh anseo.

		[MADELINE right distracted]
		Meas tú cén fáth...
		
		[THEO left excited]
		Chuirfinn forcheilt rialtais air.

		[MADELINE right distracted]
		A leithéid do chur ama amú, é seo a thógáil gan fáth...

		[THEO left normal]
		Ar a laghad, is féidir linn baint taitnimh as na hiarsmaí.

	CH1_THEO_D=
		[MADELINE right normal]
		An bhfuil tú anseo chun féachaint thart an chathair?
		
		[THEO left normal]
		Sea, tá spéis agam in áiteanna tréigthe.
		
		[THEO left thinking]
